,resent,pslave1860,cottonsuit,coarea00,rugged,latitude,longitude,water1860,state.abb,sample.size
398,4.261025449,0.084543568,0.235378571,0.054361045,127.3928757,34.44383026,-84.17043831,0,GA,9.52704278
399,5,0.496896494,0.544157143,0.152254072,23.07118416,30.87830856,-84.57912214,1,GA,5.385815368
400,3.593879353,0.256213169,0.432783333,0.068293664,27.61470032,33.7715456,-84.22635381,0,GA,177.2687683
401,5,0.448081217,0.524973684,0.12460062,16.41146278,32.17221222,-83.1684238,1,GA,4.142415213
402,5,0.456431535,0.576056667,0.098362218,15.71434879,32.15716235,-83.7988575,0,GA,1.717681507
403,4.822088491,0.732851115,0.658495455,0.082304973,8.461602211,31.53328974,-84.21643223,1,GA,14.45156849
404,3.844251713,0.223183626,0.4312875,0.05044169,32.9589386,33.70150683,-84.76771427,0,GA,56.43337319
405,4.406927731,0.4553102,0.499725,0.119890811,10.29317188,32.36747441,-81.34137141,1,GA,28.49133381
406,5,0.54739768,0.437782143,0.094777949,28.67875862,34.11693932,-82.84031637,0,GA,3.598289863
407,NA,0.254674277,0.55842,0.171725267,15.65151024,32.58979949,-82.30177408,0,GA,0.345757411
408,5,0.304663693,0.56852,0.04624313,NA,32.15677871,-81.88691471,0,GA,5.295927707
409,3.295774186,0.027826425,0.131478125,0.099911799,139.8205719,34.86409268,-84.31972989,0,GA,15.8158098
410,4.217959995,0.286504896,0.435664286,0.049989727,18.39297485,33.4139439,-84.49404122,0,GA,58.45632408
411,3.839168404,0.389141165,0.381465789,0.131467019,46.98072815,34.26323466,-85.21426335,1,GA,35.32761449
412,4.440278522,0.114853529,0.348016667,0.062663521,27.00432014,34.2255351,-84.12530481,0,GA,54.31523122
413,4.395524952,0.177600433,0.431272727,0.067590346,29.08787727,34.37549242,-83.22926323,0,GA,15.14188338
414,3.589221051,0.202609439,0.4337075,0.134824251,21.99244881,33.79035484,-84.46688197,0,GA,249.7502899
415,5,0.024836407,0.129814286,0.110012318,158.2170868,34.69148331,-84.45546532,0,GA,7.052997317
416,3,0.311038162,0.482891667,0.036172332,20.6003685,33.22927884,-82.61064327,0,GA,5.151867603
417,4.183482032,0.730007714,0.508086111,0.114739611,6.300078869,31.23067016,-81.53959986,1,GA,25.51858732
418,2.89755188,0.207569486,0.40863,0.091009895,47.58715057,34.50335998,-84.87571738,0,GA,17.41001216
419,4.025474836,0.54116396,0.4835875,0.112439004,NA,30.8747406,-84.23446962,0,GA,7.864219158
420,NA,0.663768574,0.519469231,0.10214518,21.85357475,33.57882976,-83.16671945,0,GA,1.232377088
421,3.980736745,0.197140649,0.432616667,0.110326622,25.22350502,33.96169952,-84.02354595,0,GA,253.5637245
422,5,0.13191418,0.253845455,0.071109704,112.2291031,34.63103404,-83.53118889,0,GA,18.42214051
423,4.042167763,0.134635917,0.342706667,0.108886675,41.01570892,34.31682879,-83.81970718,0,GA,75.50122284
424,4.144763884,0.075353735,0.229822727,0.071395648,29.31319809,33.79421589,-85.21103277,0,GA,12.42973244
425,4.539806424,0.563191613,0.563140625,0.117995484,40.11861038,32.73624814,-84.9093639,0,GA,13.96085567
