female,educ,race,minority,hispanic,marstat,faminc,age,given
1,graduate,2,1,2,5,106.921,66,150
0,college,1,0,2,1,56.606,56,100
1,college,1,0,2,3,74.394,62,200
1,college,1,0,2,1,179.952,74,200
1,college,1,0,2,1,107.441,36,300
0,college,1,0,2,4,34.83,64,1000
1,graduate,1,0,2,1,53.417,64,500
0,graduate,3,1,2,1,59.714,52,400
1,graduate,1,0,2,1,200.694,75,300
0,graduate,1,0,2,4,97.204,72,100
1,graduate,1,0,2,5,91.25,75,150
0,graduate,1,0,2,1,64.791,59,50
1,graduate,1,0,2,1,94.759,66,300
0,graduate,1,0,2,4,73.587,77,2000
0,college,1,0,2,1,116.865,71,100
0,college,1,0,2,1,61.699,66,200
0,college,1,0,2,1,107.466,78,100
0,college,1,0,2,3,20.666,67,1500
0,graduate,1,0,2,1,72.846,86,100
0,college,1,0,2,1,63.807,85,300
0,college,1,0,2,1,39.502,69,100
0,college,1,0,2,1,123.786,79,500
0,college,1,0,2,1,68.722,69,500
0,graduate,8,1,2,1,115.435,63,36
0,highschool,2,1,2,4,24.908,77,25
1,graduate,1,0,2,1,104.696,46,100
0,college,4,1,2,1,185.209,68,1000
0,graduate,1,0,2,1,192.155,82,150
0,college,1,0,2,1,67.985,72,10
1,graduate,1,0,2,1,113.025,46,2000
0,college,1,0,2,4,89.912,69,160
0,graduate,1,0,2,1,104.134,61,100
0,college,1,0,2,5,48.065,59,100
1,highschool,1,0,2,1,60.44,71,600
1,college,1,0,2,1,58.871,70,50
0,college,1,0,2,1,30.399,80,150
0,graduate,1,0,2,5,53.401,56,1
1,college,1,0,2,1,56.564,75,50
0,graduate,1,0,2,1,130.138,81,2500
1,graduate,1,0,2,1,282.883,62,300
1,graduate,1,0,2,3,15.961,70,2000
1,college,1,0,2,4,25.4,67,200
0,graduate,1,0,2,5,75.365,56,150
0,college,1,0,2,1,79.876,68,300
0,college,1,0,2,5,118.5,77,100
1,graduate,1,0,2,1,131.527,72,50
0,graduate,1,0,2,1,190.811,69,100
0,college,8,1,2,4,69.939,68,250
0,college,1,0,2,3,92.126,63,1000
1,graduate,2,1,2,3,32.424,65,25
0,graduate,1,0,2,1,57.834,80,300
1,graduate,1,0,2,3,37.631,71,150
0,graduate,1,0,2,2,73.161,61,120
1,graduate,1,0,2,4,100.758,78,500
1,college,1,0,2,5,32.237,57,125
0,college,1,0,2,3,32.978,66,200
1,college,1,0,2,1,87.839,78,50
0,college,1,0,2,1,67,86,50
0,graduate,1,0,2,1,75.617,61,500
1,graduate,1,0,2,1,86.507,82,60
0,graduate,1,0,1,5,93.842,49,250
1,college,1,0,2,3,29.702,57,20
1,college,1,0,2,3,45.524,83,300
1,college,1,0,2,1,147.148,46,1000
0,college,1,0,2,1,111.857,52,40
0,graduate,1,0,2,1,139.439,58,125
1,college,1,0,2,5,17.473,32,20
1,college,1,0,2,3,14.568,70,100
1,college,1,0,1,5,82.703,49,45
0,college,3,1,2,1,88.472,53,100
0,graduate,1,0,2,3,38.907,76,100
0,highschool,1,0,2,4,29.855,70,100
1,college,2,1,2,1,54.182,60,50
1,college,1,0,2,1,50.343,78,500
0,highschool,1,0,2,5,20.38,70,9
0,highschool,1,0,2,1,33.925,76,100
0,graduate,1,0,2,1,44.097,74,50
1,graduate,1,0,2,3,11.233,63,500
0,college,1,0,2,1,67.247,70,200
0,graduate,1,0,2,3,15.147,79,100
1,college,1,0,2,1,75.751,71,100
0,college,1,0,2,1,79.221,72,500
0,graduate,1,0,2,1,117.238,82,1
0,college,1,0,2,1,118.116,49,50
1,graduate,1,0,2,3,39.759,70,25
1,college,1,0,2,5,16.786,47,2000
0,graduate,1,0,2,1,61.347,79,200
1,college,1,0,2,1,86.14,59,100
1,college,2,1,2,5,159.478,79,150
0,college,1,0,2,6,129.101,81,3000
0,highschool,1,0,2,1,112.636,68,150
0,graduate,1,0,2,3,118.153,79,400
1,college,1,0,2,2,69.648,65,100
1,college,1,0,2,1,67.53,52,200
0,college,7,1,2,5,54.014,49,20
1,graduate,1,0,2,5,45.654,71,30
1,college,1,0,2,5,74.162,56,350
0,college,1,0,2,3,109.728,65,800
1,graduate,1,0,2,1,175.018,50,75
0,college,1,0,2,1,74.409,82,100
1,college,1,0,2,1,61.605,76,300
1,college,1,0,2,1,82.536,65,25
0,graduate,1,0,2,1,94.275,61,50
0,graduate,1,0,2,1,193.974,66,100
0,graduate,1,0,2,1,236.737,76,2000
0,college,1,0,2,3,13.79,69,79
1,graduate,1,0,2,1,290.173,60,500
0,college,1,0,2,1,145.573,82,500
0,graduate,1,0,2,5,69.527,60,100
1,graduate,1,0,2,4,48.957,78,250
1,graduate,1,0,2,1,76.061,58,500
1,graduate,1,0,2,1,182.381,76,400
1,graduate,1,0,2,4,126.604,89,50
1,college,1,0,2,1,119.592,69,1000
0,graduate,1,0,2,2,157.612,75,200
1,college,1,0,2,3,64.181,80,20
1,college,1,0,2,1,70.044,67,300
0,college,3,1,2,5,56.992,54,250
1,highschool,1,0,2,1,77.605,73,1000
0,college,1,0,2,3,51.573,64,100
1,college,1,0,2,1,34.889,62,50
1,graduate,1,0,2,1,76.659,71,50
1,graduate,2,1,2,3,112.893,48,50
